,type,id,geometry,properties,centroid,pixel_coord
29,Feature,8866e42a83fffff,"{'type': 'Polygon', 'coordinates': [[[-74.04599094542863, 4.7580640030094346], [-74.05000571754766, 4.755387920263893], [-74.04948780684703, 4.750542233100516], [-74.04495502114048, 4.748372770904133], [-74.04094032689562, 4.751049042334943], [-74.04145834047426, 4.7558945872677265]]]}",{'value': 0},"[4.7532184877002654, -74.04547299039024]","[52, 67]"
30,Feature,8866e42d39fffff,"{'type': 'Polygon', 'coordinates': [[[-74.03860839858993, 4.6487363532616515], [-74.04262431290562, 4.646056340076672], [-74.04210613379712, 4.641206062688014], [-74.0375719374452, 4.639035941043781], [-74.03355610114733, 4.641716142642721], [-74.03407438317464, 4.64656627746283]]]}",{'value': 0},"[4.643886247246592, -74.03809017512862]","[64, 68]"
31,Feature,8866e090d3fffff,"{'type': 'Polygon', 'coordinates': [[[-74.0634889268814, 4.559353081408223], [-74.0675067957871, 4.556669440613906], [-74.06698877271072, 4.5518149986033904], [-74.062452777641, 4.5496443398732405], [-74.05843498649432, 4.55232816874816], [-74.05895311264936, 4.557182468263515]]]}",{'value': 0},"[4.5544988102424595, -74.06297085937473]","[74, 65]"
32,Feature,8866e4649bfffff,"{'type': 'Polygon', 'coordinates': [[[-74.19258285913907, 4.6395373704904515], [-74.19660395113215, 4.636854894349077], [-74.19608763059267, 4.6320020669620465], [-74.19155011449794, 4.629831856565364], [-74.18752909865105, 4.632514520559088], [-74.18804552274383, 4.637367207087929]]]}",{'value': 0},"[4.634684713774573, -74.19206649392015]","[65, 51]"
33,Feature,8866e09763fffff,"{'type': 'Polygon', 'coordinates': [[[-74.04288379243718, 4.567915563398715], [-74.04690087242864, 4.565232520234098], [-74.04638261306485, 4.560378733459951], [-74.041847170712, 4.558208132548624], [-74.03783016872615, 4.560891363889246], [-74.03834853107867, 4.565745007956082]]]}",{'value': 0},"[4.5630619475981264, -74.04236548868903]","[73, 68]"
34,Feature,8866e42d61fffff,"{'type': 'Polygon', 'coordinates': [[[-74.0588169118526, 4.676814494533304], [-74.06283313759047, 4.674135235020899], [-74.06231524973384, 4.669285875211177], [-74.05778103314714, 4.667115917181272], [-74.05376488516754, 4.669795365114279], [-74.05428287600733, 4.674644582647452]]]}",{'value': 0},"[4.6719653061430355, -74.05829897960842]","[61, 66]"
35,Feature,8866e42881fffff,"{'type': 'Polygon', 'coordinates': [[[-74.07552564033074, 4.712414543269605], [-74.07954196571484, 4.70973636351257], [-74.07902433899761, 4.704888296644446], [-74.074490283859, 4.702718551530493], [-74.07047403601246, 4.705396919746912], [-74.07099176575804, 4.710244844608745]]]}",{'value': 0},"[4.707566647916703, -74.07500796920073]","[57, 64]"
36,Feature,8866e09215fffff,"{'type': 'Polygon', 'coordinates': [[[-74.08991620974496, 4.645674778607345], [-74.09393385547753, 4.642993942470224], [-74.09341629462301, 4.6381428116618535], [-74.08888098489643, 4.6359726589808234], [-74.08486341655885, 4.638653683345223], [-74.08538108054393, 4.64350467215421]]]}",{'value': 0},"[4.640823818939095, -74.08939860442871]","[64, 63]"
37,Feature,8866e42985fffff,"{'type': 'Polygon', 'coordinates': [[[-74.14394195198065, 4.708342995818808], [-74.1479605784424, 4.705663716550732], [-74.14744377722042, 4.7008145170450675], [-74.14290824621753, 4.698644738045936], [-74.13888969646212, 4.701324205524185], [-74.13940660099433, 4.7061732637821985]]]}",{'value': 0},"[4.703493967517222, -74.14342510620082]","[57, 57]"
38,Feature,8866e42d49fffff,"{'type': 'Polygon', 'coordinates': [[[-74.03472305526054, 4.692886806673479], [-74.03873828147147, 4.690208474475684], [-74.03822012742785, 4.685360143627996], [-74.0336866442903, 4.68319028747834], [-74.02967149612266, 4.685868808224172], [-74.03018975304036, 4.690716996562488]]]}",{'value': 0},"[4.688038647423292, -74.03420485688474]","[59, 69]"
39,Feature,8866e46491fffff,"{'type': 'Polygon', 'coordinates': [[[-74.2011414702315, 4.639025062235078], [-74.20516284841284, 4.636342449782913], [-74.20464663146174, 4.631489481632967], [-74.20010893273201, 4.629319266688871], [-74.19608763059267, 4.6320020669620465], [-74.19660395113215, 4.636854894349077]]]}",{'value': 0},"[4.634172264717074, -74.20062520858284]","[65, 50]"
40,Feature,8866e09149fffff,"{'type': 'Polygon', 'coordinates': [[[-74.1789710359804, 4.633026842409512], [-74.18299176538068, 4.6303443147501495], [-74.18247526821756, 4.625491398037124], [-74.17793793814309, 4.623321150000625], [-74.17391728505834, 4.6260038655420095], [-74.17443388572354, 4.630856641228652]]]}",{'value': 0},"[4.6281740963952815, -74.17845449416455]","[65, 53]"
