localidad,latitud,longitud
usaquen,4.7136986,-74.0232047
usaquen,4.7137307,-74.0230036
usaquen,4.7139071,-74.0231243
usaquen,4.7145112,-74.0231404
usaquen,4.7147812,-74.0231296
usaquen,4.7148588,-74.0229821
usaquen,4.7147572,-74.0224725
usaquen,4.7146609,-74.02192
usaquen,4.7146235,-74.0217108
usaquen,4.7143295,-74.0214479
usaquen,4.7145594,-74.0212065
usaquen,4.7148962,-74.0209597
usaquen,4.714415,-74.0200102
usaquen,4.7145807,-74.0197367
usaquen,4.7146823,-74.0196562
usaquen,4.7149978,-74.0201712
usaquen,4.7154629,-74.0211904
usaquen,4.7155057,-74.0207237
usaquen,4.7153078,-74.0201926
usaquen,4.7150726,-74.0198708
usaquen,4.715233,-74.0193075
usaquen,4.7153613,-74.0191144
usaquen,4.715249,-74.0187389
usaquen,4.7147839,-74.0184921
usaquen,4.7151795,-74.0175855
usaquen,4.7164467,-74.0214397
usaquen,4.7165161,-74.0213621
usaquen,4.7171202,-74.0216303
usaquen,4.7173768,-74.0216088
usaquen,4.7176872,-74.0210184
usaquen,4.717735,-74.0206164
usaquen,4.7181039,-74.0212494
usaquen,4.7183071,-74.0216464
usaquen,4.7182701,-74.0222307
usaquen,4.7188852,-74.0225155
usaquen,4.7193229,-74.0225852
usaquen,4.7199644,-74.0223277
usaquen,4.7201783,-74.0220487
usaquen,4.7207771,-74.0224028
usaquen,4.7220708,-74.0218878
usaquen,4.7218259,-74.0203281
usaquen,4.7223595,-74.0202892
usaquen,4.722274,-74.0195704
usaquen,4.7229369,-74.0192056
usaquen,4.7231615,-74.0185297
usaquen,4.7235678,-74.0185511
usaquen,4.7237709,-74.018122
usaquen,4.7236533,-74.0189159
usaquen,4.7241879,-74.0190768
usaquen,4.7244832,-74.019552
usaquen,4.725054,-74.0195704
usaquen,4.7258239,-74.0202034
usaquen,4.7261446,-74.0200317
usaquen,4.7264761,-74.0207398
usaquen,4.7266379,-74.0214401
usaquen,4.7278982,-74.0214801
usaquen,4.7286894,-74.0214586
usaquen,4.7287893,-74.0211067
usaquen,4.7288462,-74.0209062
usaquen,4.7295876,-74.0204609
usaquen,4.7302685,-74.0207035
usaquen,4.7309669,-74.0202999
usaquen,4.7313732,-74.0201283
usaquen,4.731429,-74.0204625
usaquen,4.7328113,-74.0212655
usaquen,4.7331053,-74.0211046
usaquen,4.7314469,-74.0187546
usaquen,4.7314058,-74.018603
usaquen,4.7312673,-74.0183294
usaquen,4.7308416,-74.0177912
usaquen,4.7304739,-74.0174011
usaquen,4.7302605,-74.017473
usaquen,4.7300836,-74.0174534
usaquen,4.7298069,-74.0173328
usaquen,4.7297159,-74.0172422
usaquen,4.7297186,-74.0170589
usaquen,4.729778,-74.0169
usaquen,4.7299557,-74.0166758
usaquen,4.7295312,-74.016122
usaquen,4.7293505,-74.0161194
usaquen,4.7292409,-74.0161181
usaquen,4.7291313,-74.0160842
usaquen,4.7289295,-74.0160108
usaquen,4.7287658,-74.015911
usaquen,4.7286718,-74.0157879
usaquen,4.7286365,-74.0156607
usaquen,4.7286545,-74.0155589
usaquen,4.7288135,-74.0154612
usaquen,4.7290553,-74.0153717
usaquen,4.7292451,-74.0152557
usaquen,4.7291627,-74.0149222
usaquen,4.7291095,-74.0146355
usaquen,4.7290046,-74.0144352
usaquen,4.7289322,-74.014239
usaquen,4.7295234,-74.0135944
usaquen,4.7299725,-74.0129292
usaquen,4.7300313,-74.01272
usaquen,4.7299109,-74.0124882
usaquen,4.7309911,-74.0112779
usaquen,4.7316328,-74.0134188
usaquen,4.7334582,-74.0125108
usaquen,4.7351155,-74.0125216
usaquen,4.7362916,-74.0151286
usaquen,4.737177,-74.0178282
usaquen,4.7378989,-74.0177175
usaquen,4.7385085,-74.0175149
usaquen,4.7394779,-74.0176392
usaquen,4.7404402,-74.018755
usaquen,4.741488,-74.0191198
usaquen,4.7416377,-74.0184975
usaquen,4.7408037,-74.0182829
usaquen,4.7417874,-74.0175534
usaquen,4.7403424,-74.0171311
usaquen,4.7414921,-74.0163584
usaquen,4.741488,-74.0155149
usaquen,4.7419388,-74.0150332
usaquen,4.7424107,-74.0146081
usaquen,4.7426009,-74.0150783
usaquen,4.742847,-74.0150072
usaquen,4.742975,-74.0152845
usaquen,4.7431346,-74.0156758
usaquen,4.7431711,-74.0157164
usaquen,4.7432077,-74.0157747
usaquen,4.743193,-74.015856
usaquen,4.7431677,-74.0159161
usaquen,4.743156,-74.0162015
usaquen,4.7443474,-74.0156474
usaquen,4.7443963,-74.0168667
usaquen,4.7447812,-74.017961
usaquen,4.7452138,-74.017818
usaquen,4.7462297,-74.0180204
usaquen,4.7472564,-74.0174477
usaquen,4.7474657,-74.0176394
usaquen,4.7476787,-74.0180469
usaquen,4.747946,-74.0166843
usaquen,4.7485448,-74.0179825
usaquen,4.7491988,-74.0191926
usaquen,4.7498385,-74.0195274
usaquen,4.7503885,-74.019367
usaquen,4.7510574,-74.0184438
usaquen,4.7521981,-74.0182202
usaquen,4.7536765,-74.019973
usaquen,4.7553449,-74.0185833
usaquen,4.7557469,-74.0208592
